"Codice ISTAT","Ente","Indirizzo","C.A.P.","Denominazione comune","Provincia","Email","Email PEC","Fax","U.R.P. email","U.R.P. fax","U.R.P. telefono","Abitanti","Superficie","Perimetro","Altitudine espressa in m. s.l.","Codice catastale","Codice Fiscale","A.T.O.","A.T.S.","Distretto Socio Sanitario","PLUS","Santo patrono","Festività Santo patrono"
"090001","Comune di Aggius","Via Pasquale Paoli, 39","07020","Aggius","Sassari","info@comuneaggius.it","protocollo@pec.comuneaggius.it","+39 079 6203369","","","","1438","86,31","58617,51","514,00","A069","82005370901","Alta Gallura","","Distretto di Tempio","PLUS - Distretto di Tempio Pausania","I domenica di ottobre Santa Vittoria","I domenica di ottobre Santa Vittoria"
"090002","Comune di Alà dei Sardi","Via Roma, 74","07020","Alà dei Sardi","Sassari","info@comune.aladeisardi.ot.it","protocollo.aladeisardi@legalmail.it","+39 079 7239031","segre.aladeisardi@tiscali.it","","+39 079 7239010","1832","197,99","76028,50","663,00","A115","81000550905","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","28 agosto Sant'Agostino","28 agosto"
"090003","Comune di Alghero","Piazza Porta Terra, 9","07041","Alghero","Sassari","infoalghero@comune.alghero.ss.it","protocollo@pec.comune.alghero.ss.it","","infoalghero@comune.alghero.ss.it","","+39 079 979054","43743","225,40","140555,98","7,00","A192","00249350901","Nurra","","Distretto di Alghero","PLUS - Distretto di Alghero","29 settembre San Michele Arcangelo","29 settembre"
"090004","Comune di Anela","Via Pascoli, 5","07010","Anela","Sassari","comuneanela.segret@tiscali.it","protocolloanela@legpec.it","+39 079 799288","","","","611","36,84","34002,73","446,00","A287","00237220900","Goceano","","Distretto di OzierI","PLUS - Distretto di OzierI","27 settembre SS. Cosma e Damiano","27 settembre"
"090005","Comune di Ardara","Piazza Municipio, 1","07010","Ardara","Sassari","protocollo@comune.ardara.ss.it","protocollo@cert.comune.ardara.ss.it","+39 079 400157","","","","760","38,10","33753,76","296,00","A379","81001110907","Montacuto","","Distretto di OzierI","PLUS - Distretto di OzierI","9 maggio Madonna del Regno","9 maggio"
"090006","Comune di Arzachena","Via Firenze, 2","07021","Arzachena","Sassari","segretariogenerale@comarzachena.it","protocollo@pec.comarzachena.it","","","","","13815","231,06","142419,67","85,00","A453","82000900900","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","9 settembre Santa Maria della Neve","9 settembre"
"090007","Comune di Banari","Piazza A. Solinas, 1","07040","Banari","Sassari","comunebanari@tiscali.it","protocollo@pec.comune.banari.ss.it","+39 079 826233","","","","536","21,30","23132,50","419,00","A606","00257710905","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","10 agosto San Lorenzo","10 agosto"
"090008","Comune di Benetutti","Corso Cocco Ortu, 76","07010","Benetutti","Sassari","protocollo@comune.benetutti.ss.it","protocollo@pec.comune.benetutti.ss.it","+39 079 796323","","","","1784","94,53","56532,81","406,00","A781","00289880908","Goceano","","Distretto di OzierI","PLUS - Distretto di OzierI","18 agosto Sant'Elena Imperatrice","18 agosto"
"090009","Comune di Berchidda","Piazza del Popolo, 5","07022","Berchidda","Sassari","amministrativo@comune.berchidda.ot.it","protocollo@pec.comune.berchidda.ot.it","","","","","2694","201,96","72809,60","290,00","A789","00111140901","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","31 agosto San Sebastiano","31 agosto"
"090010","Comune di Bessude","Via Roma, 38","07040","Bessude","Sassari","protocollo@comune.bessude.ss.it","protocollo@pec.comune.bessude.ss.it","+39 079 889943","","","","397","26,73","33765,53","447,00","A827","80005300902","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","11 novembre San Martino","11 novembre"
"090011","Comune di Bonnanaro","Via Garibaldi, 4","07043","Bonnanaro","Sassari","protocollo@comune.bonnanaro.ss.it","protocollo@pec.comune.bonnanaro.ss.it","+39 079 845403","","","","9552","21,84","20730,98","405,00","A976","00237080908","Montacuto","","Distretto di Alghero","PLUS - Distretto di Alghero","23 aprile San Giorgio","23 aprile"
"090012","Comune di Bono","Corso Angioy, 2","07011","Bono","Sassari","protocollo@comune.bono.ss.it","protocollo@pec.comunebono.gov.it","","combono@tiscali.it","","+39 079 7916938","3488","74,50","55271,95","436,00","A977","00197030901","Goceano","","Distretto di OzierI","PLUS - Distretto di OzierI","23 aprile San Giorgio","23 aprile"
"090013","Comune di Bonorva","Via Santa Maria, 27","07012","Bonorva","Sassari","segreteria@comune.bonorva.ss.it","protocollo.bonorva@pec.comunas.it","","","","","3310","149,74","71433,02","508,00","A978","00256810904","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","8 settembre Natività di Maria Vergine","8 settembre"
"090014","Comune di Bortigiadas","Via Dante, 13","07030","Bortigiadas","Sassari","info@comunebortigiadas.it","comune.bortigiadas@pec.it","+39 079 627211","info@comunebortigiadas.it","","+39 079 627014","743","76,20","50614,32","479,00","B063","82005930902","Alta Gallura","","Distretto di Tempio","PLUS - Distretto di Tempio Pausania","6 dicembre San Nicola di Bari ","6 dicembre"
"090015","Comune di Borutta","Via Della Libertà, 11","07040","Borutta","Sassari","demografici@comune.borutta.ss.it","protocollo@pec.comune.borutta.ss.it","+39 079 824164","","","","267","4,73","12095,06","472,00","B064","00256690900","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","22 luglio Santa Maria Maddalena","22 luglio"
"090016","Comune di Bottidda","Via Goceano, 2","07010","Bottidda","Sassari","info@comune.bottidda.ss.it","protocollo.bottidda@pec.comunas.it","+39 079 793575","","","","669","33,58","52354,63","396,00","B094","00197020902","Goceano","","Distretto di OzierI","PLUS - Distretto di OzierI","7 ottobre Madonna del Rosario","7 ottobre"
"090017","Comune di Buddusò","Piazza Fumu, 1","07020","Buddusò","Sassari","protocollo@comunebudduso.gov.it","protocollo@pec.comunebudduso.gov.it","","","","","3762","186,02","72031,05","700,00","B246","81000470906","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","23 settembre Sant'Anastasia","23 settembre"
"090018","Comune di Bultei","Via Risorgimento, 1","07010","Bultei","Sassari","protocollo@comune.bultei.ss.it","comunebultei@legpec.it","+39 079 795852","","","","864","97,03","51386,43","509,00","B264","81000650903","Goceano","","Distretto di OzierI","PLUS - Distretto di OzierI","20 luglio Santa Margherita","20 luglio"
"090019","Comune di Bulzi","Via Celestino Segni, 3","07030","Bulzi","Sassari","amministrativo@comune.bulzi.ss.it","protocollo@pec.comune.bulzi.ss.it","","","","","487","21,67","19922,63","201,00","B265","80003620905","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","20 gennaio San Sebastiano","20 gennaio"
"090020","Comune di Burgos","Via Marconi, 1","07010","Burgos","Sassari","info@comuneburgos.gov.it","protocollo.burgos@pec.comunas.it","+39 079 793004","","","","878","17,96","33429,05","561,00","B276","81001170901","Goceano","","Distretto di OzierI","PLUS - Distretto di OzierI","17 gennaio Sant'Antonio Abate","17 gennaio"
"090021","Comune di Calangianus","Via Sant' Antonio, 2","07023","Calangianus","Sassari","protocollo@comune.calangianus.ot.it","protocollo.comune.calangianus@pec.it","","","","","3978","126,50","62598,53","500,00","B378","82005750904","Alta Gallura","","Distretto di Tempio","PLUS - Distretto di Tempio Pausania","14 maggio Santa Giusta","14 maggio"
"090022","Comune di Cargeghe","Via Brigata Sassari, 1","07030","Cargeghe","Sassari","protocollo@comune.cargeghe.ss.it","protocollo.cargeghe@pec.comunas.it","+39 079 345001","","","","617","12,12","19941,27","333,00","B772","00248610909","Romangia","","Distretto di Sassari","PLUS - Distretto di Sassari","15 luglio SS. Quirico e Giulitta","15 luglio"
"090023","Comune di Castelsardo","Via Vittorio Emanuele, 2","07031","Castelsardo","Sassari","protocollo@comune.castelsardo.ss.it","protocollo@pec.comune.castelsardo.ss.it","+39 079 478481","protocollo@comune.castelsardo.ss.it","","+39 079 478400","5867","43,34","47898,24","114,00","C272","80005630902","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","17 gennaio Sant'Antonio abate","17 gennaio"
"090024","Comune di Cheremule","Piazza Parrocchia, 7","07040","Cheremule","Sassari","protocollo@comune.cheremule.ss.it","protocollo.cheremule@legalmail.it","+39 079 889365","","","","417","24,17","37283,71","540,00","C600","00266660901","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","29 settembre San Gabriele","29 settembre"
"090025","Comune di Chiaramonti","Via Fratelli Cervi, 1","07030","Chiaramonti","Sassari","protocollo@comune.chiaramonti.ss.it","protocollo@pec.comune.chiaramonti.ss.it","","","","","1573","98,61","56871,29","430,00","C613","00253990907","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","21 settembre San Matteo","21 settembre"
"090026","Comune di Codrongianos","Via Roma, 5","07040","Codrongianos","Sassari","anagrafe@comunecodrongianos.it","protocollo.codrongianos@legalmail.it","+39 079 434039","","","","1307","30,40","33468,49","317,00","C818","00248570905","Romangia","","Distretto di Sassari","PLUS - Distretto di Sassari","25 gennaio San Paolo (La Conversione)","25 gennaio"
