"Macrosettore","Provincia","Comune","Inquinante","Valore"
"Agricoltura","CAGLIARI","ARMUNGIA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","ASSEMINI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","BALLAO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","BARRALI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","BURCEI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","CAGLIARI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","CAPOTERRA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","CASTIADAS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","DECIMOMANNU","As ( kg ) ","0"
"Agricoltura","CAGLIARI","DECIMOPUTZU","As ( kg ) ","0"
"Agricoltura","CAGLIARI","DOLIANOVA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","DOMUS DE MARIA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","DONORI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","ELMAS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","ESCALAPLANO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","ESCOLCA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","ESTERZILI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","GERGEI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","GESICO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","GONI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","GUAMAGGIORE","As ( kg ) ","0"
"Agricoltura","CAGLIARI","GUASILA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","ISILI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","MANDAS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","MARACALAGONIS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","MONASTIR","As ( kg ) ","0"
"Agricoltura","CAGLIARI","MONSERRATO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","MURAVERA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","NURAGUS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","NURALLAO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","NURAMINIS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","NURRI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","ORROLI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","ORTACESUS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","PIMENTEL","As ( kg ) ","0"
"Agricoltura","CAGLIARI","PULA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","QUARTU SANT'ELENA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","QUARTUCCIU","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SADALI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SAMATZAI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SAN BASILIO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SAN NICOLO' GERREI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SAN SPERATE","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SAN VITO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SANT'ANDREA FRIUS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SARROCH","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SELARGIUS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SELEGAS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SENORBI'","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SERDIANA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SERRI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SESTU","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SETTIMO SAN PIETRO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SEULO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SILIQUA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SILIUS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SINNAI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SIURGUS DONIGALA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SOLEMINIS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","SUELLI","As ( kg ) ","0"
"Agricoltura","CAGLIARI","TEULADA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","USSANA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","UTA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","VALLERMOSA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","VILLA SAN PIETRO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","VILLANOVA TULO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","VILLAPUTZU","As ( kg ) ","0"
"Agricoltura","CAGLIARI","VILLASALTO","As ( kg ) ","0"
"Agricoltura","CAGLIARI","VILLASIMIUS","As ( kg ) ","0"
"Agricoltura","CAGLIARI","VILLASOR","As ( kg ) ","0"
"Agricoltura","CAGLIARI","VILLASPECIOSA","As ( kg ) ","0"
"Agricoltura","CAGLIARI","ARMUNGIA","BAP ( kg ) ","0"
"Agricoltura","CAGLIARI","ASSEMINI","BAP ( kg ) ","0.1876"
"Agricoltura","CAGLIARI","BALLAO","BAP ( kg ) ","0"
"Agricoltura","CAGLIARI","BARRALI","BAP ( kg ) ","0.0337"
"Agricoltura","CAGLIARI","BURCEI","BAP ( kg ) ","0.0018"
"Agricoltura","CAGLIARI","CAGLIARI","BAP ( kg ) ","0.0515"
"Agricoltura","CAGLIARI","CAPOTERRA","BAP ( kg ) ","0.2725"
"Agricoltura","CAGLIARI","CASTIADAS","BAP ( kg ) ","0.0826"
"Agricoltura","CAGLIARI","DECIMOMANNU","BAP ( kg ) ","0.177"
