"Macrosettore","Provincia","Comune","Inquinante","Valore"
"Processi senza combustione","CAGLIARI","ARMUNGIA","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","ASSEMINI","As ( kg ) ","6.6519"
"Processi senza combustione","CAGLIARI","BALLAO","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","BARRALI","As ( kg ) ","0.0001"
"Processi senza combustione","CAGLIARI","BURCEI","As ( kg ) ","0.0001"
"Processi senza combustione","CAGLIARI","CAGLIARI","As ( kg ) ","0.6718"
"Processi senza combustione","CAGLIARI","CAPOTERRA","As ( kg ) ","0.0004"
"Processi senza combustione","CAGLIARI","CASTIADAS","As ( kg ) ","0.0017"
"Processi senza combustione","CAGLIARI","DECIMOMANNU","As ( kg ) ","0.0016"
"Processi senza combustione","CAGLIARI","DECIMOPUTZU","As ( kg ) ","0.0025"
"Processi senza combustione","CAGLIARI","DOLIANOVA","As ( kg ) ","0.0005"
"Processi senza combustione","CAGLIARI","DOMUS DE MARIA","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","DONORI","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","ELMAS","As ( kg ) ","0.0073"
"Processi senza combustione","CAGLIARI","ESCALAPLANO","As ( kg ) ","0.0001"
"Processi senza combustione","CAGLIARI","ESCOLCA","As ( kg ) ","0.0003"
"Processi senza combustione","CAGLIARI","ESTERZILI","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","GERGEI","As ( kg ) ","0.0002"
"Processi senza combustione","CAGLIARI","GESICO","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","GONI","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","GUAMAGGIORE","As ( kg ) ","0.0003"
"Processi senza combustione","CAGLIARI","GUASILA","As ( kg ) ","0.0036"
"Processi senza combustione","CAGLIARI","ISILI","As ( kg ) ","0.0023"
"Processi senza combustione","CAGLIARI","MANDAS","As ( kg ) ","0.0007"
"Processi senza combustione","CAGLIARI","MARACALAGONIS","As ( kg ) ","0.0024"
"Processi senza combustione","CAGLIARI","MONASTIR","As ( kg ) ","0.0135"
"Processi senza combustione","CAGLIARI","MONSERRATO","As ( kg ) ","0.0032"
"Processi senza combustione","CAGLIARI","MURAVERA","As ( kg ) ","0.0004"
"Processi senza combustione","CAGLIARI","NURAGUS","As ( kg ) ","0.0001"
"Processi senza combustione","CAGLIARI","NURALLAO","As ( kg ) ","0.0007"
"Processi senza combustione","CAGLIARI","NURAMINIS","As ( kg ) ","0.0214"
"Processi senza combustione","CAGLIARI","NURRI","As ( kg ) ","0.0009"
"Processi senza combustione","CAGLIARI","ORROLI","As ( kg ) ","0.0011"
"Processi senza combustione","CAGLIARI","ORTACESUS","As ( kg ) ","0.0015"
"Processi senza combustione","CAGLIARI","PIMENTEL","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","PULA","As ( kg ) ","0.0011"
"Processi senza combustione","CAGLIARI","QUARTU SANT'ELENA","As ( kg ) ","0.0096"
"Processi senza combustione","CAGLIARI","QUARTUCCIU","As ( kg ) ","0.0056"
"Processi senza combustione","CAGLIARI","SADALI","As ( kg ) ","0.0003"
"Processi senza combustione","CAGLIARI","SAMATZAI","As ( kg ) ","0.0075"
"Processi senza combustione","CAGLIARI","SAN BASILIO","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","SAN NICOLO' GERREI","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","SAN SPERATE","As ( kg ) ","0.775"
"Processi senza combustione","CAGLIARI","SAN VITO","As ( kg ) ","0.0071"
"Processi senza combustione","CAGLIARI","SANT'ANDREA FRIUS","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","SARROCH","As ( kg ) ","0.0049"
"Processi senza combustione","CAGLIARI","SELARGIUS","As ( kg ) ","0.0067"
"Processi senza combustione","CAGLIARI","SELEGAS","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","SENORBI'","As ( kg ) ","0.001"
"Processi senza combustione","CAGLIARI","SERDIANA","As ( kg ) ","0.0011"
"Processi senza combustione","CAGLIARI","SERRI","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","SESTU","As ( kg ) ","0.8443"
"Processi senza combustione","CAGLIARI","SETTIMO SAN PIETRO","As ( kg ) ","0.004"
"Processi senza combustione","CAGLIARI","SEULO","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","SILIQUA","As ( kg ) ","0.0008"
"Processi senza combustione","CAGLIARI","SILIUS","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","SINNAI","As ( kg ) ","0.0187"
"Processi senza combustione","CAGLIARI","SIURGUS DONIGALA","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","SOLEMINIS","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","SUELLI","As ( kg ) ","0.006"
"Processi senza combustione","CAGLIARI","TEULADA","As ( kg ) ","0.0002"
"Processi senza combustione","CAGLIARI","USSANA","As ( kg ) ","0.0007"
"Processi senza combustione","CAGLIARI","UTA","As ( kg ) ","0.0043"
"Processi senza combustione","CAGLIARI","VALLERMOSA","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","VILLA SAN PIETRO","As ( kg ) ","0.0001"
"Processi senza combustione","CAGLIARI","VILLANOVA TULO","As ( kg ) ","0.0001"
"Processi senza combustione","CAGLIARI","VILLAPUTZU","As ( kg ) ","0.0013"
"Processi senza combustione","CAGLIARI","VILLASALTO","As ( kg ) ","0"
"Processi senza combustione","CAGLIARI","VILLASIMIUS","As ( kg ) ","0.0015"
"Processi senza combustione","CAGLIARI","VILLASOR","As ( kg ) ","0.0021"
"Processi senza combustione","CAGLIARI","VILLASPECIOSA","As ( kg ) ","0"
"Processi senza combustione","CARBONIA-IGLESIAS","BUGGERRU","As ( kg ) ","0"
"Processi senza combustione","CARBONIA-IGLESIAS","CALASETTA","As ( kg ) ","0"
"Processi senza combustione","CARBONIA-IGLESIAS","CARBONIA","As ( kg ) ","0.0062"
"Processi senza combustione","CARBONIA-IGLESIAS","CARLOFORTE","As ( kg ) ","0.0003"
"Processi senza combustione","CARBONIA-IGLESIAS","DOMUSNOVAS","As ( kg ) ","0.0009"
"Processi senza combustione","CARBONIA-IGLESIAS","FLUMINIMAGGIORE","As ( kg ) ","0.0005"
"Processi senza combustione","CARBONIA-IGLESIAS","GIBA","As ( kg ) ","0.0003"
"Processi senza combustione","CARBONIA-IGLESIAS","GONNESA","As ( kg ) ","0.0009"
"Processi senza combustione","CARBONIA-IGLESIAS","IGLESIAS","As ( kg ) ","0.0074"
"Processi senza combustione","CARBONIA-IGLESIAS","MASAINAS","As ( kg ) ","0"
"Processi senza combustione","CARBONIA-IGLESIAS","MUSEI","As ( kg ) ","0.0019"
"Processi senza combustione","CARBONIA-IGLESIAS","NARCAO","As ( kg ) ","0.0001"
"Processi senza combustione","CARBONIA-IGLESIAS","NUXIS","As ( kg ) ","0"
"Processi senza combustione","CARBONIA-IGLESIAS","PERDAXIUS","As ( kg ) ","0.0008"
"Processi senza combustione","CARBONIA-IGLESIAS","PISCINAS","As ( kg ) ","0.0002"
